datefield,publisher,title,edition,place,issuance,first_pdf,number_volumes,identifier,fulltext_filename,type,genre
1841.0,Privately printed,"The Poetical Aviary, with a bird's-eye view of the English poets. [The preface signed: A. A.] Ms. notes",,Calcutta,monographic,lsidyv35c55757,1,000000196,000000196_01_text.json,poet,Poetry
1888.0,Rivingtons,A History of Greece. Part I. From the earliest times to the Ionian Revolt,,London,monographic,lsidyv376da437,1,000004047,000004047_01_text.json,story,Prose
1847.0,Punch Office,"The Comic History of England ... With ... coloured etchings, and ... woodcuts, by John Leech",,London,monographic,lsidyv38b27a31,1,000005382,000005382_01_text.json,story,Prose
1892.0,"Eden, Remington & Co.",The Cruise of “The Tomahawk”: the story of a summer's holiday in prose and rhyme. By Mrs. R. S. de C. Laffan ... assisted by “Stroke” and “Bow.”,,London,monographic,lsidyv3c4a946a,1,000014627,000014627_01_text.json,rhyme,Poetry
1863.0,Virtue Bros. & Co.,Scenes from the Drama of European History,,London,monographic,lsidyv32c34c22,1,000017057,000017057_01_text.json,play,Drama
1899.0,W. J. Gage & Co.,Houses of Glass. A romance,,Toronto,monographic,lsidyv2b091bbb,1,000051104,000051104_01_text.json,romance,Prose
1882.0,Union Pacific Railway Co.,Nebraska and the Territories as developed by Railroad Building and Operation,,"Omaha, Neb",monographic,lsidyv3034a281,1,000053289,000053289_01_text.json,opera,Music
1828.0,Henry Colburn,Notions of the Americans; picked up by a travelling bachelor [i.e. James Fenimore Cooper],,London,monographic,lsidyv38f9ad5c,1,000069889,000069889_01_text.json,opera,Music
1833.0,"Carey, Lea & Carey",[Notions of the Americans; picked up by a travelling bachelor [i.e. James Fenimore Cooper].],[Another edition.],Philadelphia,monographic,lsidyv35028b1b,1,000069890,000069890_01_text.json,opera,Music
1864.0,Daniel Jones,The Eleven White Swans of Denmark. An opera. (Founded on a Danish tale by H. C. Andersen [by Lavinia Jones].),,Bradford-on-Avon,monographic,lsidyv35e86934,1,000077449,000077449_01_text.json,opera,Music
1873.0,Advertiser Office,"A Song of Labour, and other poems",,Dundee,monographic,lsidyv35c5eb7d,1,000078073,000078073_01_text.json,song,Music
1867.0,D. Van Nostrand,History of the Campaign of Mobile; including the co-operative operations of Gen. Wilson's Cavalry in Alabama ... With maps and illustrations,,New York,monographic,lsidyv38ad217f,1,000084631,000084631_01_text.json,opera,Music
1899.0,Preston & Rounds Co.,"Diary of Colonel Israel Angell, commanding the Second Rhode Island Continental Regiment during the American Revolution, 1778-1781. Transcribed from the original manuscript, together with a biographical sketch of the author and illustrative notes by Edward Field ... Illustrated",,Providence,monographic,lsidyv38c600b6,1,000087222,000087222_01_text.json,ode,Poetry
1893.0,E. Stock,As the Angels. A story,,London,monographic,lsidyv38e58a47,1,000087652,000087652_01_text.json,story,Prose
1894.0,J. Lewis,Ettrick and Yarrow: a guide. With songs and ballads,,Selkirk,monographic,lsidyv3c40a3cf,1,000089266,000089266_01_text.json,song,Music
1876.0,D. Appleton & Co.,"Appletons' Illustrated Hand-Book of American Cities ... With outlines of through routes, and railway maps",,New York,monographic,lsidyv358b8bbd,1,000100299,000100299_01_text.json,lines,Poetry
1887.0,J. W. Jarvis & Son,"Arden of Feversham, a tragedy: reprinted from the edition of 1592. With an introduction by A. H. Bullen",,London,monographic,lsidyv35e77d2f,1,000106624,000106624_01_text.json,tragedy,Drama
1896.0,Longmans & Co.,East and West. Being papers reprinted from the “Daily Telegraph” and other sources ... With ... illustrations by R. T. Pritchett,,London,monographic,lsidyv39175c26,1,000119124,000119124_01_text.json,elegy,Poetry
1866.0,Clarke & Co.,"The History of Abraham Lincoln, and the overthrow of slavery. [With a portrait.]",,Chicago,monographic,lsidyv38cad7ce,1,000119467,000119467_01_text.json,story,Prose
1885.0,London Literary Society,"Thespis and Melpomene. A lyrical drama, in four acts",,London,monographic,lsidyv35cf487e,1,000123926,000123926_01_text.json,play,Drama
1801.0,J. Denovan,Rodolpho; a poetical romance,,Edinburgh,monographic,lsidyv35e1465b,1,000135887,000135887_01_text.json,poet,Poetry
1878.0,Hurd & Houghton,Californian Pictures in Prose and Verse. [With plates.],,New York,monographic,lsidyv358816aa,1,000151500,000151500_01_text.json,verse,Poetry
1776.0,J. Dodsley,"Semiramis, a tragedy, etc. [In verse.]",,London,monographic,lsidyv36799899,1,000154917,000154917_01_text.json,tragedy,Drama
1874.0,C. W. Bryan & Co.,"Account of the Centennial Celebration of the Town of West Springfield, Mass. ... with the historical address of Thomas E. Vermilye ... the poem of Mrs. Ellen P. Champion, etc. [With plates, including portraits.]",,"Springfield, Mass",monographic,lsidyv37038703,1,000168700,000168700_01_text.json,poet,Poetry
1852.0,Thomas Hatchard,The Recent Operations of the British Forces at Rangoon and Martaban. [With plates.],,London,monographic,lsidyv2b18756d,1,000176766,000176766_01_text.json,opera,Music
1860.0,Published & sold in the Theatre,"Lurline: a grand romantic original opera, in three acts, composed by W. Vincent Wallace, the words by E. Fitzball: first produced at the Royal English Opera, Covent Garden ... February 23rd 1860",,London,monographic,lsidyv3627844b,1,000182354,000182354_01_text.json,opera,Music
1890.0,History Co.,History of Utah ... 1540-1887. [With a bibliography.],,San Francisco,monographic,lsidyv38da02a6,1,000188893,000188893_01_text.json,story,Prose
1837.0,Durrie & Peck,"Connecticut Historical Collections, containing a general collection of interesting facts ... relating to the history and antiquities of every town in Connecticut, with geographical descriptions ... Second edition. [With plates.]",,New Haven,monographic,lsidyv3710b1cf,1,000194793,000194793_01_text.json,story,Prose
1863.0,D. Van Nostrand,"Report of the Engineer and Artillery Operations of the Army of the Potomac, from its organization to the close of the Peninsular Campaign, etc",,New York,monographic,lsidyv2aebb754,1,000203888,000203888_01_text.json,opera,Music
1802.0,M. Jones,"The History of New South Wales, including Botany Bay, Port Jackson, Pamaratta [sic], Sydney, and all its dependancies ... with the customs and manners of the natives, and an account of the English colony, from its foundation to the present time ... Enriched with ... coloured prints",,London,monographic,lsidyv2e9e660e,1,000210763,000210763_01_text.json,story,Prose
1855.0,"Phillips, Sampson & Co.",The History of Massachusetts,,Boston,monographic,lsidyv38c724bd,3,000212786,000212786_01_text.json,story,Prose
1794.0,For the Author,"The Fall of the French Monarchy; or, Louis XVI. An historical tragedy, in five acts. [In verse.]",,London,monographic,lsidyv3679ae3b,1,000215686,000215686_01_text.json,tragedy,Drama
1794.0,J. Debrett,"The Travellers in Switzerland. A comic opera, in three acts, etc",,London,monographic,lsidyv3679a30a,1,000223669,000223669_01_text.json,opera,Music
1841.0,John Mason,"Ashantee and the Gold Coast: being a sketch of the history, social state, and superstitions of the inhabitants of those countries: with a notice of the state and prospects of Christianity among them. [With a map.]",,London,monographic,lsidyv38fa87d5,1,000249060,000249060_01_text.json,story,Prose
1887.0,G. H. Harmer,History of Cirencester and the Roman City Corinium ... Illustrated,,Cirencester,monographic,lsidyv354dcd86,1,000249073,000249073_01_text.json,story,Prose
1843.0,Henry Colburn,"Narrative of a Voyage round the World, performed in Her Majesty's Ship Sulphur, during the years 1836-42, including details of the naval operations in China from Dec. 1840 to Nov. 1841. (The regions of vegetation. By Richard Brinsley Hinds.) [With plates and maps.]",,London,monographic,lsidyv3e610def,1,000254656,000254656_01_text.json,opera,Music
1812.0,William Wilson,Odes in honour of His Royal Highness the Prince Regent. With other poems,,London,monographic,lsidyv36275b90,1,000255540,000255540_01_text.json,ode,Poetry
1849.0,Printed for private circulation,Melodies of Scotland,,Edinburgh,monographic,lsidyv35e17d0c,1,000258850,000258850_01_text.json,melody,Music
1822.0,John Murray,"Narrative of the Operations and Recent Discoveries within the pyramids, temples, tombs, and excavations, in Egypt and Nubia ... Third edition",,London,monographic,lsidyv3c5fb303,2,000266214,000266214_01_text.json,opera,Music
1869.0,Francis Guy,"The History of Bandon, and the principal towns in the West Riding of County Cork. Enlarged edition, with ... illustrations [and a portrait]",,Cork,monographic,lsidyv3c3c3a75,1,000273667,000273667_01_text.json,story,Prose
1845.0,Henry Colburn,"[Narrative of the Voyages and Services of the Nemesis, from 1840 to 1843; and of the combined naval and military operations in China; comprising a complete account of the colony of Hong Kong, and remarks on the character and habits of the Chinese, from notes of Commander W. H. Hall, R.N., with personal observations, by W. D. Bernard. [With plates and maps.]]",Second edition. [Abridged.],London,monographic,lsidyv3cdeef6a,1,000293364,000293364_01_text.json,opera,Music
1863.0,R. Williams,"The Handbook for Delhi. With large additional matter ... on the historic remains and points of modern interest in Delhi, with original contributions from D. B. Smith ... and Lieut. de Kantzow ... With index appendices and two maps ... By Frederick Cooper",,Delhi,monographic,lsidyv3ca5b6d1,1,000296877,000296877_01_text.json,opera,Music
1868.0,[The Author],"The Question of the Day. Church Property: what is it, and whose? A paper, etc",,Leeds,monographic,lsidyv3c3a9e34,1,000304422,000304422_01_text.json,opera,Music
1869.0,John Murray,"The Student's Manual of Modern Geography. Mathematical, physical, and descriptive",,London,monographic,lsidyv3ce932a9,1,000307734,000307734_01_text.json,ode,Poetry
1876.0,Trübner & Co.,The District of Bákarganj. Its history and statistics,,London,monographic,lsidyv390b83e3,1,000307851,000307851_01_text.json,story,Prose
1888.0,Sampson Low & Co.,France and the Confederate Navy 1862-1868. An international episode,,London,monographic,lsidyv38d189b3,1,000348846,000348846_01_text.json,ode,Poetry
1816.0,Longman & Co.,"An Historical Display of the Effects of Physical and Moral Causes on the Character and Circumstances of Nations, etc",,London,monographic,lsidyv2e9ecbcb,1,000349422,000349422_01_text.json,play,Drama
1896.0,John Macqueen,The Selected Poems of J. S. Blackie. Edited with an appreciation by Archibald Stodart Walker. With a portrait,,London,monographic,lsidyv35c42ccc,1,000366677,000366677_01_text.json,poet,Poetry
1897.0,"Woodall, Minshall & Co.",History of Shrewsbury Hundred or Liberties ... Edited from the original MS. in the Bodleian Library by the Rev. W. G. D. Fletcher ... Reprinted from the Shropshire Archæological Transactions,,Oswestry,monographic,lsidyv31438ea2,1,000371033,000371033_01_text.json,story,Prose
1810.0,J. Munday,"[A New Description of Blenheim ... [By W. F. Mavor.] A new and improved edition. Embellished with an elegant plan, etc.]","Eighth edition, improved and enlarged, etc. [With plates.] L.P.",Oxford,monographic,lsidyv35dcd0b9,1,000375921,000375921_01_text.json,elegy,Poetry
1820.0,H. Slatter,"[A New Description of Blenheim ... [By W. F. Mavor.] A new and improved edition. Embellished with an elegant plan, etc.]","Eleventh edition, improved. Embellished with ... new views, etc. (To which are added, an Itinerary, an Account of the Roman villa near Northleigh, etc.).",Oxford,monographic,lsidyv309bdd6e,1,000375924,000375924_01_text.json,elegy,Poetry
1802.0,London,"Rural tales, ballads, and songs",,enk,monographic,lsidyv2eb8096b,1,000380279,000380279_01_text.json,song,Music
1881.0,Baillière & Co.,"The History of Salt; with observations on its geographical distribution, geological formation, and medicinal and dietetic properties",,London,monographic,lsidyv3ca649bf,1,000387896,000387896_01_text.json,opera,Music
1868.0,"Deighton, Bell & Co.","The Alpine Regions of Switzerland and the neighbouring countries. A pedestrian's notes on their physical features, scenery, and natural history ... With illustrations by E. Whymper",,Cambridge,monographic,lsidyv3becb649,1,000409791,000409791_01_text.json,story,Prose
1895.0,,Our Little Nell. [In verse.],,,monographic,lsidyv363bedb7,1,000439778,000439778_01_text.json,verse,Poetry
1818.0,Henry Colburn,"Letters of a Prussian Traveller; descriptive of a tour through Sweden, Prussia, Austria, Hungary, Istria, the Ionian Islands, Egypt, Syria, Cyprus, Rhodes, the Morea, Greece, Calabria, Italy, the Tyrol, the Banks of the Rhine, Hanover, Holstein, Denmark, Westphalia, and Holland. Interspersed with anecdotes of distinguished characters and illustrations of political occurrences",,London,monographic,lsidyv3cbc195b,1,000451882,000451882_01_text.json,ode,Poetry
1891.0,G. P. Putnam's Sons,"The Civil War on the Border. A narrative of operations in Missouri, Kansas, Arkansas, and the Indian Territory during the years 1861-62 (1863-65), based upon the official reports ... Second edition, revised. [With portraits and maps.]",,New York,monographic,lsidyv2aff3fd5,2,000479810,000479810_01_text.json,opera,Music
1888.0,D. Lothrop Co.,The Story of New York ... Illustrations by L. J. Bridgman,,Boston,monographic,lsidyv2afd34bb,1,000487659,000487659_01_text.json,story,Prose
1879.0,H. Sotheran & Co.,"The Annals of Newark-upon-Trent, comprising the history, curiosities, and antiquities of the borough ... Illustrated with engravings and autographs, etc",,London,monographic,lsidyv3c35d45e,1,000492164,000492164_01_text.json,story,Prose
1888.0,Wm. Brown,"Lines on the Trip promoted by Members of the Littleborough and Smallbrige Reform Clubs ... 1888, to Chester and Hawarden, the residence of the Right Hon. W. E. Gladstone, M.P",,Littleborough,monographic,lsidyv35f494e7,1,000494991,000494991_01_text.json,lines,Poetry
1899.0,,"[Our Earth and its Story: a popular treatise on physical geography. Edited by R. Brown. With ... coloured plates and maps, etc.]",,London,monographic,lsidyv35bb774f,3,000495551,000495551_01_text.json,story,Prose
1898.0,Printed for the Author,"Sutton Valence & East Sutton, their early history. [With plates.]",,Maidstone,monographic,lsidyv301c4795,1,000497994,000497994_01_text.json,story,Prose
1859.0,S.P.C.K.,"A History of Rome from A.D. 96. to the Fall of the Western Empire, etc",,London,monographic,lsidyv3150ec34,1,000498454,000498454_01_text.json,story,Prose
1896.0,H. R. Allenson,The Fisher of Le Brunn. A story in verse,,London,monographic,lsidyv363bf95d,1,000498768,000498768_01_text.json,verse,Poetry
1883.0,H. Holt & Co.,Lyrical and Dramatic Poems selected from the works of Robert Browning. With an extract from Stedman's “Victorian Poets.” Edited by E. T. Mason,,New York,monographic,lsidyv35c47699,1,000499209,000499209_01_text.json,poet,Poetry
1884.0,G. Bell & Sons,[Strafford: an historical tragedy.],[Another edition.] With notes and preface by Emily H. Hickey ... and an introduction by Samuel R. Gardiner.,London,monographic,lsidyv35e8b99c,1,000499453,000499453_01_text.json,tragedy,Drama
1890.0,R. A. Darnill,The Richmond Vestry. Notes of its history and operations from 1614 to 1890. (Borough of Richmond. The charter of incorporation. [With a map.]),,Richmond,monographic,lsidyv3c36d333,1,000545986,000545986_01_text.json,opera,Music
1848.0,T. R. Marvin,"History of the Town of Groton, including Pepperell and Shirley, from the first grant of Groton Plantation in 1655. With appendices, containing family registers, town and state officers, populations, and other statistics",,Boston,monographic,lsidyv35b1c0e3,1,000551646,000551646_01_text.json,story,Prose
1894.0,Hunt & Eaton,"Sketches of Mexico in prehistoric, primitive, colonial and modern times. Lectures at the Ohio Wesleyan University on the Merrick Foundation ... Fifth series",,New York,monographic,lsidyv2e9fd959,1,000552517,000552517_01_text.json,ode,Poetry
1889.0,Estes & Lauriat,Zigzag Journeys in the Antipodes ... Fully illustrated,,Boston,monographic,lsidyv38fd6ef7,1,000554689,000554689_01_text.json,ode,Poetry
1821.0,John Murray,"Sardanapalus, a tragedy. The Two Foscari, a tragedy. Cain, a mystery",,London,monographic,lsidyv386108c3,1,000558547,000558547_01_text.json,tragedy,Drama
1836.0,W. F. Wakeman,"Arnaldo; Gaddo; and other unacknowledged poems; by Lord Byron, and some of his contemporaries; collected [or rather, written] by Odoardo Volpi [pseudonym of Edward N. Shannon]. (The Comedy of Dante Alighieri; translated by Odoardo Volpi. [Containing only the first 10 Cantos of the “Inferno.”])",,Dublin,monographic,lsidyv388c64a9,1,000558610,000558610_01_text.json,comedy,Drama
1880.0,Iliffe & Son,"Romances of the Wheel, a collection of romantic cycling tales. By W. J. C., an old rider [i.e. W. J. Coppen]",,Coventry,monographic,lsidyv35420ba6,1,000561729,000561729_01_text.json,romance,Prose
1823.0,"John Anderson, jun.",The Bride of Lammermoor. A drama in five acts. [Based on the novel by Sir Walter Scott.],,Edinburgh; Simpkin & Marshall,monographic,lsidyv3679ac52,1,000569257,000569257_01_text.json,play,Drama
1887.0,William Rae,"[Sketch of the Civil and Traditional History of Caithness, from the Tenth Century.]",Second edition. With historical notes by Thomas Sinclair ... Maps and illustrations.,Wick,monographic,lsidyv2ae50741,1,000570346,000570346_01_text.json,story,Prose
1770.0,W. Griffin,"['Tis Well it's no Worse: a comedy, etc. [Adapted by Bickerstaffe from Calderón's “El Escondído y la Tapada”.]]",The third edition.,London,monographic,lsidyv38824687,1,000570834,000570834_01_text.json,comedy,Drama
1831.0,Benjamin Bridges,"The Poll on the Election of a Representative in Parliament, for the County of Cambridge ... October, 1831; to which is added, a list of the members for the county, from 1660, till the present time. By Charles Henry Cooper",,Cambridge,monographic,lsidyv32d04301,1,000579863,000579863_01_text.json,opera,Music
1896.0,Scientific Publishing Co.,The Manufacture and Properties of Structural Steel ... Second edition,,New York,monographic,lsidyv3cc4da96,1,000585196,000585196_01_text.json,opera,Music
1899.0,W. Blackwood & Sons,[Balmerino and its Abbey. A parochial history ... With an appendix of illustrative documents.],New edition.,Edinburgh,monographic,lsidyv2ae207f1,1,000585378,000585378_01_text.json,story,Prose
1897.0,Boosey & Co.,"Diarmid. Grand opera ... founded on heroic Celtic legends, etc",,London,monographic,lsidyv3509072e,1,000585701,000585701_01_text.json,opera,Music
1869.0,Longmans & Co.,"History of Grant's Campaign for the capture of Richmond, 1864-1865, with an outline of the previous course of the American Civil War",,London,monographic,lsidyv38cfd1aa,1,000595792,000595792_01_text.json,story,Prose
1826.0,Edward Baines,"Modern Canvassing, or, Popery and No Popery. [A dialogue between an agent and a freeholder.]",,Leeds,monographic,lsidyv35ccfdd6,1,000597540,000597540_01_text.json,opera,Music
1898.0,,"Notes on Chromic Iron Ore: its modes of occurrence, mining, dressing, uses and value; with a register of New South Wales localities",,Sydney,monographic,lsidyv3c334635,1,000610432,000610432_01_text.json,ode,Poetry
1884.0,Field & Tuer,The Emperor's Wish. A play in five acts. [In verse.],,London,monographic,lsidyv35e8ce1c,1,000621677,000621677_01_text.json,play,Drama
1892.0,Cassell & Co.,Anthea. A true story of the Greek War of Independence,,London,monographic,lsidyv38e6a194,1,000626199,000626199_01_text.json,story,Prose
1856.0,John Murray,"Correspondence of Lieut.-General the Hon. Sir George Cathcart, K.C.B., relative to his military operations in Kaffraria ... and to his measures for the future maintenance of peace on that frontier, etc. [With maps.]",,London,monographic,lsidyv3c6dd420,1,000635054,000635054_01_text.json,opera,Music
1832.0,T. & W. Boone,"Attila, a tragedy; and other poems",,London,monographic,lsidyv35e8c627,1,000638231,000638231_01_text.json,tragedy,Drama
1897.0,W. & R. Chambers,Chambers's Recitation Book for infant schools and classes,,London & Edinburgh,monographic,lsidyv35c57866,1,000655436,000655436_01_text.json,recitation,Drama
1886.0,,"The Child's Book of Poetry. A selection of poems, ballads and hymns",,R.T.S. London,monographic,lsidyv35c51628,1,000684785,000684785_01_text.json,poet,Poetry
1868.0,M. Field,"A Twenty Years' Review. A sermon preached in Sion Chapel, Bradford ... August 16th, 1868; with the hymns sung at the service, etc",,Bradford,monographic,lsidyv35fea7fd,1,000692135,000692135_01_text.json,hymn,Music
1853.0,The Author,"Sea Nile, the Desert and Nigritia: travels in company with Captain Peel, R.N., 1851-1852 ... With thirteen Arabic songs, as sung by the Egyptian sailors ... translated, etc. [With musical notes.]",,London,monographic,lsidyv3c5905fd,1,000701778,000701778_01_text.json,song,Music
1861.0,H. P. Clark,"Clark's Guide and History of Rye, to which is added its political history, interspersed with many pleasing & interesting incidents",,Rye,monographic,lsidyv34ee4acb,1,000712067,000712067_01_text.json,story,Prose
1888.0,G. P. Putnam's Sons,Robert Emmet. A tragedy of Irish history. [A play. With a portrait.],,New York & London,monographic,lsidyv35e8db2b,1,000715387,000715387_01_text.json,tragedy,Drama
1892.0,Hutchinson & Co.,The Thousand Best Songs in the World. Selected and arranged by E. W. Cole,,London; Cole's Book Arcade,monographic,lsidyv35c52c3d,1,000739876,000739876_01_text.json,song,Music
1829.0,John Cole,"Bibliotheca Coleiana: a catalogue of the collection of books, the private property of John Cole. [By J. Cole.]",,Scarborough,monographic,lsidyv393cfa4a,1,000740451,000740451_01_text.json,opera,Music
1822.0,John Cole,"Graphic and Historical Sketches of Scarborough, displayed in six views, finely executed on wood, from original drawings by Mr. Baynes, Jun. With descriptive notices",,Scarborough,monographic,lsidyv3c4697d0,1,000740458,000740458_01_text.json,play,Drama
1885.0,J. Cornish & Sons,Celtic Irish Songs and Song-Writers. A selection. With an introduction and memoirs,,London,monographic,lsidyv35c4e2f1,1,000747484,000747484_01_text.json,song,Music
1879.0,Chatto & Windus,"The Haunted Hotel. A mystery of modern Venice. To which is added, My Lady's Money ... With six illustrations by Arthur Hopkins",,London,monographic,lsidyv3538afae,2,000748885,000748885_01_text.json,ode,Poetry
1885.0,W. Walker & Sons,"Ilkley, Ancient and Modern ... Eighty illustrations",,Otley,monographic,lsidyv3c31f4f8,1,000749886,000749886_01_text.json,ode,Poetry
,,[Four poems.],,,monographic,lsidyv38647576,1,000754106,000754106_01_text.json,song,Music
1822.0,William Phillips,"Outlines of the Geology of England and Wales, with an introductory compendium of the general principles of that science, and comparative views of the structure of foreign countries. Illustrated by a coloured map and sections ... Part I",,London,monographic,lsidyv3c5b3e41,1,000771666,000771666_01_text.json,lines,Poetry
1892.0,Percival & Co.,Old Touraine. The life and history of the famous châteaux of France,,London,monographic,lsidyv3bbaf7a9,2,000773254,000773254_01_text.json,story,Prose
1731.0,J. Roberts,"The Triumphs of Love and Honour, a play ... [In verse.] To which are added, Considerations on the Stage, and on the advantages which arise to a nation from the encouragement of arts",,London,monographic,lsidyv36cfe58c,1,000774823,000774823_01_text.json,play,Drama
1842.0,Warwick & Co.,"Annals of Cambridge. [vol. 5, containing the annals for 1850-1856, additions and corrections for vol. 1-4 and a general index, edited by J. W. Cooper.]",,Cambridge,monographic,lsidyv3c1670b0,4,000776665,000776665_01_text.json,opera,Music
1882.0,The Mortgage & Agency Co. of Australasia,"Our New Colony, Fiji, its history, progress and resources. Edited by H. S. Cooper",,London,monographic,lsidyv3083a1f2,1,000777232,000777232_01_text.json,opera,Music
1802.0,Printed for the Author; sold by G. Kearsley,"History of the Union of the Kingdoms of Great-Britain and Ireland: with an introductory survey of Hibernian affairs, traced from the times of Celtic colonisation",,London,monographic,lsidyv370fb881,1,000779108,000779108_01_text.json,story,Prose
1885.0,Dean & Son,"The History of Greece: from the earliest period to the Roman conquest. With a sketch of its modern history to the present time. Adapted for schools and the youth of both sexes ... New edition, twenty-ninth thousand, enlarged and improved, etc",,London,monographic,lsidyv376dd388,1,000788104,000788104_01_text.json,ode,Poetry
1857.0,Chapman & Hall,"Dramatic Scenes. With other poems, now first printed ... Illustrated",,London,monographic,lsidyv36c49b8c,1,000789156,000789156_01_text.json,play,Drama
